year,label,data
2018,Afghanistan,4.57
2018,Albania,0.72
2018,Algeria,2.3
2018,American Samoa,0.0
2018,Andorra,0.0
2018,Angola,2.27
2018,Anguilla,0.0
2018,Antarctica,0.0
2018,Antigua and Barbuda,0.72
2018,Argentina,3.24
2018,Armenia,1.4
2018,Aruba,0.0
2018,Australia,0.69
2018,Austria,0.0
2018,Azerbaijan,0.35
2018,Bahamas,2.51
2018,Bahrain,4.2
2018,Bangladesh,7.7
2018,Barbados,0.54
2018,Belarus,6.63
2018,Belgium,0.0
2018,Belize,0.53
2018,Benin,0.17
2018,Bermuda,0.0
2018,Bhutan,0.0
2018,Bolivia (Plurinational State of),2.59
2018,"Bonaire, Sint Eustatius and Saba",0.0
2018,Bosnia and Herzegovina,1.05
2018,Botswana,3.11
2018,Bouvet Island,0.0
2018,Brazil,2.12
2018,British Virgin Islands,0.0
2018,Brunei Darussalam,2.58
2018,Bulgaria,1.08
2018,Burkina Faso,0.88
2018,Burundi,2.67
2018,Cabo Verde,0.47
2018,Cambodia,4.93
2018,Cameroon,2.24
2018,Canada,1.21
2018,Cayman Islands,0.0
2018,Central African Republic,1.61
2018,Chad,0.7
2018,Chile,1.82
2018,China,8.71
2018,"China, Hong Kong Special Administrative Region",0.0
2018,"China, Macao Special Administrative Region",0.0
2018,Christmas Island,0.0
2018,Cocos (Keeling) Islands,0.0
2018,Colombia,4.66
2018,Comoros,1.35
2018,Congo,0.5
2018,Cook Islands,0.83
2018,Costa Rica,1.4
2018,Croatia,1.12
2018,Cuba,1.36
2018,Curaçao,0.0
2018,Cyprus,0.0
2018,Czechia,0.18
2018,Côte d’Ivoire,0.72
2018,Democratic People's Republic of Korea,0.0
2018,Democratic Republic of the Congo,3.16
2018,Denmark,0.53
2018,Djibouti,6.17
2018,Dominica,0.17
2018,Dominican Republic,1.45
2018,Ecuador,4.39
2018,Egypt,6.48
2018,El Salvador,4.95
2018,Equatorial Guinea,4.62
2018,Eritrea,1.11
2018,Estonia,0.0
2018,Eswatini,0.55
2018,Ethiopia,3.3
2018,Falkland Islands (Malvinas),0.0
2018,Faroe Islands,0.0
2018,Fiji,5.34
2018,Finland,0.0
2018,France,0.36
2018,French Guiana,0.0
2018,French Polynesia,0.0
2018,French Southern Territories,0.0
2018,Gabon,0.15
2018,Gambia,1.64
2018,Georgia,0.86
2018,Germany,0.38
2018,Ghana,1.62
2018,Gibraltar,0.0
2018,Greece,0.85
2018,Greenland,0.0
2018,Grenada,0.71
2018,Guadeloupe,0.0
2018,Guam,0.0
2018,Guatemala,5.04
